phoneme,source
ɪ̠̙,phoible
d̠ʒˀ,phoible
ɛːɒ̯ˤ,phoible
d̚ˀ,phoible
s̻ʲ,phoible
k̬,phoible
xʷʲ,phoible
q̪ʼ,phoible
pfʷ,phoible
ŋʔk̚,phoible
↘,phoible
m̥ˑ,phoible
ɜo̯,phoible
ʛ̥ː,phoible
ŋkp,phoible
e̞̰ː,phoible
dʑ̤,phoible
t̥s,phoible
dzˀ,phoible
dnz,phoible
ɨ˞ː,phoible
ʃˤː,phoible
z̞̩ʷ,phoible
ʲiː,phoible
ⁿh,phoible
ɺ̃,phoible
ɨ̟,phoible
ɖ̃,phoible
ʊ̥,phoible
ʷŋ,phoible
ɡˤː,phoible
eʉ,phoible
ʒ̥ˤ,phoible
l̠̥ʲ,phoible
xw,phoible
ʉ̯̃,phoible
jj̥ː,phoible
sɬ,phoible
tsʷˠ,phoible
bf,phoible
d̪j,phoible
k̟x̟ʲ,phoible
s̻͉,phoible
ʌ̆,phoible
p̥,phoible
ʀ̥,phoible
ɜ˞,phoible
ʔⁿ,phoible
d̪̥ˤː,phoible
ü̜,phoible
ɪɪ̠̯,phoible
z͈,phoible
d̠̥z̠̥ʲ,phoible
bmʷ,phoible
k̚ʷ,phoible
ʎʲ,phoible
ũj,phoible
nɪ̯,phoible
jwə,phoible
t̠ʃʷˠʰ,phoible
ʊːɒ̯ˤ,phoible
t̪s̪ɦ,ucla
p̚ʰ,phoible
ʲt,phoible
ˀd̺ː,phoible
ɔj,phoible
kcʰ,phoible
s̬,phoible
b̚ˀ,phoible
t̪̬,phoible
k̟ʲː,phoible
pf̃,phoible
ɟ̊ʝ̊,phoible
ʕ̥ː,phoible
β̞̃,phoible
ɤ̞̥,phoible
m̩ʲ,phoible
ɪ̥̯,phoible
ʈʷˠʰ,phoible
ɟʑ,phoible
ɻ̩,phoible
ʃ̬,phoible
ɡˤ,phoible
ĩ̙,phoible
ɰ̥,phoible
ll̥,phoible
l̻̥,phoible
kˤː,phoible
ɟ̚ˀ,phoible
ʙ̩,phoible
d̪̞,phoible
ŋw,phoible
t̪s̪̟,phoible
l̚,phoible
z̪̥ː,phoible
ʈⁿ,phoible
n̠d̠ʒʲ,phoible
õ̙,phoible
ɡɟ,phoible
ɗʷʲ,phoible
b̚ʷˠ,phoible
t̠̬ʃʰ,phoible
ʂɻ,phoible
stsː,phoible
tɮ,phoible
vv̥ː,phoible
ʔn̰,phoible
ɖrʲ,phoible
ʲi,phoible
n̻̥,phoible
ŋ̟ˑ,phoible
ʔm̰,phoible
dzʷʲ,phoible
ʷx,phoible
tsç,phoible
n̟,phoible
ɯ̤i,phoible
ʉ̈ː,phoible
t̻s̻̩ʼ,phoible
ʔc̟ʰ,phoible
ɡ͈ʷː,phoible
mɰ,phoible
mɡ,phoible
t̠ʃ̩ʷʼ,phoible
sts,phoible
ʌʊ,phoible
ɐ̥,phoible
dɳʷ,phoible
d̪̙ˤ,phoible
ʷɣ,phoible
fɰ,phoible
˩˨˧,phoible
ɴǀɢ,phoible
ɾ̃ˠ,phoible
s̻ˑ,phoible
β̃ʲ,phoible
l̥ʷ,phoible
a̽,phoible
ə̤i,phoible
t̬ʰ,phoible
n̩ʲ,phoible
n̥̩,phoible
ɴǂɢ,phoible
t̚,phoible
æ̟̝ɔ,phoible
d̠ʒʷˠ,phoible
ɗ̚,phoible
ɯ,phoible
ɡk,phoible
ʔk,phoible
d̪̞̤z̪̞̤,phoible
t̪̚,phoible
b̚ʲ,phoible
ă̟,phoible
ʊɛ,phoible
nɥ,phoible
ɻ̥,phoible
ɡǂqʰ,phoible
ʑj,phoible
ʷu,phoible
x̟,phoible
b̃,phoible
d̪̞̤,phoible
qˤː,phoible
hn,phoible
ʰj,phoible
kŋʷ,phoible
ɦʲ,phoible
ɤ̥,phoible
qǀʰ,phoible
oɤ˞,phoible
tχ,phoible
ʲt̚,phoible
ɪ̆̈,phoible
t̬sʰ,phoible
tsx,phoible
pu,phoible
o̥,phoible
ʔe,phoible
ɥie,phoible
ɜ̟,phoible
ə̠,phoible
a̯ə,phoible
m̥ˠ,phoible
ʁ̥,phoible
ja,phoible
mm̥,phoible
ə̯ɪ,phoible
e̯ɪ,phoible
ʲe,phoible
m͈,phoible
ɟʒ,phoible
ʔd̪,phoible
ŋ̥ˠ,phoible
˧˩̰ʔ,phoible
tʃː,phoible
ɡ͉,phoible
t̬ʃ,phoible
ɲ̟,phoible
t̠ʃʲʼ,phoible
tɬ̩ʼ,phoible
ˀr̥,phoible
ŋˠ,phoible
ʒ̥ː,phoible
ɡʷˠ,phoible
d̪ʒ̟,phoible
ʷɡ,phoible
z̃,phoible
hk,phoible
ɡ̞,phoible
ɣʷʲ,phoible
mʔp̚,phoible
ɪːɒ̯,phoible
w̆,phoible
htːʃ,phoible
œ̈,phoible
ɵ̞̃ː,phoible
ṳi,phoible
ɔ̤̆,phoible
p͉ː,phoible
ə̥̃,phoible
ʈθ̜,phoible
ʲɳ,phoible
t̠θˀ,phoible
t̠ʔ,phoible
ɡ̤̚,phoible
ʁ̥ː,phoible
jw,phoible
jɥ,phoible
lʎ,phoible
ɪˑ,phoible
ɽʷ,phoible
iᵊ,phoible
ɴɢǀqʰ,phoible
rr̥,phoible
ɔ˞,phoible
ʊ̃̈ː,phoible
ʌ̥,phoible
k̟ː,phoible
ɣˑ,phoible
ɖ̤̚,phoible
vf,phoible
ɪ̠ː,phoible
ʐˀ,phoible
k̠ʰ,phoible
qǃʰ,phoible
l̪ɬ̪,phoible
ʔ̚,phoible
ɛ˞,phoible
ɛᵊ,phoible
l̥ˑ,phoible
ɲ̚,phoible
ŋ̟̩ʲ,phoible
kˡ,phoible
d̪̤̚,phoible
ɛ̤̆,phoible
zs,phoible
lɥ,phoible
xˑ,phoible
l̪̚,phoible
ʙ̥,phoible
n̠̥ʲ,phoible
ɢ̆,phoible
ŋŋ̥ː,phoible
ũ̙,phoible
t̠ʃ̚,phoible
ʰkˑ,phoible
ɱvʷ,phoible
õ̘,phoible
m̚,phoible
ɘ̯,phoible
ʔʰ,phoible
t̪̻s̪̻ʰ,phoible
lɪ̯,phoible
d̃,phoible
iʃ,phoible
eːə̯,phoible
t̪ⁿ,phoible
n̪̚,phoible
aʔa,phoible
d̪̥ː,phoible
ɜe̯,phoible
ʔɓ,phoible
ɰɨ,phoible
tʷʲ,phoible
ʒ̃,phoible
k̚ʰ,phoible
ɡ̥ʷ,phoible
kh,phoible
ˀɓ,phoible
ʷɬ,phoible
kɣʷ,phoible
nn̥,phoible
β̞̜,phoible
ɵ̞̯,phoible
hr,phoible
ƥ,phoible
bɰ,phoible
ɶ̝ː,phoible
t̻ˡʲ,phoible
ħ̃,phoible
ɡw,phoible
ɺ̥ʲ,phoible
ɨ̯̃,phoible
ɱ̩,phoible
ɔ̃i,phoible
kʔ,phoible
o̽ə,phoible
ɟɲ,phoible
əɛ,phoible
œ̝,phoible
p̃,phoible
χ̃,phoible
æe̤̯,phoible
ɔ̥,phoible
tⁿ,phoible
oːɒ̯ˤ,phoible
˩ˀ,phoible
hm,phoible
hl,phoible
d̠̈,phoible
hts,phoible
ɖ̚ˀ,phoible
mʙ,phoible
ẽʲ,phoible
t̥ʃ,phoible
lj,phoible
t͈̚,phoible
ɵˑ,phoible
tp,phoible
d̪ʉ,phoible
ɯ̞̃,phoible
zd̪,phoible
çp,phoible
d̻ˡʲ,phoible
t̚ˤ,phoible
hpː,phoible
˦˥˩,phoible
ɳ̆,phoible
ʋ̃,phoible
t̚ʲ,phoible
a̯e,phoible
u̟ː,phoible
d͉zː,phoible
wʔ,phoible
t̺β,phoible
ɵ̞̃,phoible
n̥ˑ,phoible
o,phoible
n̥d,phoible
j̆,phoible
pʔ,phoible
ɥː,phoible
ɡj,phoible
˧̆,phoible
ʰtːs,phoible
ɖθ̜,phoible
k̟ʼ,phoible
ɡbⁿ,phoible
j̰̃,phoible
ɡˠ,phoible
uj,phoible
ɲɲ̥ː,phoible
ɛ̃i,phoible
o̯u,phoible
c̬ʰ,phoible
k̥ː,phoible
dj,phoible
ɔ̴,phoible
çt̠ʃ,phoible
n̻̩,phoible
ŋ̚,phoible
jj̥,phoible
ɻ̥̩,phoible
ə̟̝,phoible
ɬ̩,phoible
d̪̥ˠ,phoible
ia̯,phoible
ə̝,phoible
tɥ,phoible
˥̆,phoible
nn̥ː,phoible
dʔ,phoible
c̚,phoible
θ̬,phoible
b̥ʲ,phoible
aɔ̯,phoible
p̚ʷˠ,phoible
ʱm̥,phoible
ʔtɕ̚,phoible
ʈʲ,phoible
ˀŋ̟,phoible
ɳɖ̤,phoible
k̬ʰ,phoible
ɽʲ,phoible
ʰs,phoible
θ͉,phoible
ɯ̥,phoible
pᶣ,phoible
e̞̤,phoible
ɣβ,phoible
w̟,phoible
ɡǁqʰ,phoible
ˀŋɡ,phoible
ɖʲ,phoible
ɔ̴ː,phoible
d͉z,phoible
ɴʘɢ,phoible
p̰ʲ,phoible
t̪ˡ,phoible
uø,phoible
ɡ̥,phoible
ɯ̃i,phoible
ɡ̞̤,phoible
ʒ͈,phoible
ɤɰ,phoible
kx̟,phoible
z̪̥ˤ,phoible
n̠d̠ʒ̤,phoible
ɡ̟͈,phoible
hˤ,phoible
nʷˠ,phoible
ɾ̚,phoible
ɑ̰,phoible
o̞˞,phoible
ɥiɛ,phoible
t̥̚,phoible
ˀbʷ,phoible
ʔm,phoible
ɯ̈,phoible
ɟ̠,phoible
ə̈,phoible
m̻,phoible
tʲˀ,phoible
ʱn̥,phoible
ɽ̥,phoible
ɨ̯,phoible
ɖʷˠ,phoible
ʌˤ,phoible
tɬʲʼ,phoible
aj,phoible
k͈̚,phoible
ɒˑ,phoible
ʔʷʲ,phoible
ʱŋ̊,phoible
o̤i,phoible
hŋ,phoible
tʷˠʰ,phoible
ʔd̠ʒ,phoible
oo̞,phoible
hp,phoible
ɟ̚,phoible
d̚,phoible
